"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2009","4,264.05","3,579.57","4,461.63","3,574.26","712.19K","16.31%"
"10/01/2009","3,665.99","3,301.83","3,769.76","3,301.83","344.88K","12.79%"
"09/01/2009","3,250.40","3,129.70","3,769.12","3,085.36","480.84K","2.76%"
"08/01/2009","3,163.17","3,783.49","3,920.69","3,060.47","494.54K","-16.12%"
"07/01/2009","3,771.17","3,324.32","3,865.93","3,321.79","704.80K","13.08%"
"06/01/2009","3,335.10","3,198.59","3,380.68","3,188.76","534.17K","4.89%"
"05/01/2009","3,179.67","2,979.81","3,266.33","2,979.81","504.07K","6.99%"
"04/01/2009","2,971.90","2,822.11","3,141.93","2,782.93","639.53K","5.60%"
"03/01/2009","2,814.17","2,270.11","2,814.25","2,264.15","559.19K","22.25%"
"02/01/2009","2,302.02","2,141.82","2,739.88","2,132.45","647.71K","8.47%"
"01/01/2009","2,122.35","1,856.37","2,146.83","1,853.96","275.81K","15.92%"
"12/01/2008","1,830.82","1,711.86","2,090.69","1,701.08","452.16K","6.48%"
"11/01/2008","1,719.43","1,397.76","1,850.93","1,343.01","330.53K","22.23%"
"10/01/2008","1,406.76","1,879.29","1,890.76","1,398.28","176.31K","-26.63%"
"09/01/2008","1,917.37","2,093.13","2,093.35","1,613.85","182.85K","-8.95%"
"08/01/2008","2,105.88","2,820.23","2,898.31","1,987.96","177.02K","-25.69%"
"07/01/2008","2,834.10","2,580.14","3,030.05","2,507.95","307.29K","9.87%"
"06/01/2008","2,579.61","3,495.41","3,559.92","2,466.89","166.57K","-26.44%"
"05/01/2008","3,506.84","3,607.50","3,916.80","3,432.54","235.23K","-2.16%"
"04/01/2008","3,584.35","3,830.13","3,872.10","2,911.55","175.84K","-7.18%"
"03/01/2008","3,861.60","4,643.99","4,968.09","3,762.70","219.87K","-16.89%"
"02/01/2008","4,646.54","4,201.99","4,707.70","3,904.83","143.89K","10.24%"
"01/01/2008","4,215.11","4,508.45","5,009.84","4,198.89","308.31K","-6.19%"
"12/01/2007","4,493.41","3,719.46","4,532.39","3,711.26","129.17K","20.35%"
"11/01/2007","3,733.48","4,016.72","4,016.72","3,626.09","102.17K","-6.89%"
